date,city_eng,value,city,latitude,longitude
2000-01-15,Naha,1.0,那覇,26.2126,127.679
2000-01-16,Naha,1.4285714285714286,那覇,26.2126,127.679
2000-01-17,Naha,1.8571428571428572,那覇,26.2126,127.679
2000-01-18,Naha,2.2857142857142856,那覇,26.2126,127.679
2000-01-19,Naha,2.7142857142857144,那覇,26.2126,127.679
2000-01-20,Naha,3.142857142857143,那覇,26.2126,127.679
2000-01-21,Naha,3.571428571428571,那覇,26.2126,127.679
2000-01-22,Naha,4.0,那覇,26.2126,127.679
2000-01-23,Naha,4.428571428571429,那覇,26.2126,127.679
2000-01-24,Naha,4.857142857142857,那覇,26.2126,127.679
2000-01-25,Naha,5.285714285714286,那覇,26.2126,127.679
2000-01-26,Naha,5.714285714285714,那覇,26.2126,127.679
2000-01-27,Naha,6.142857142857142,那覇,26.2126,127.679
2000-01-28,Naha,6.571428571428571,那覇,26.2126,127.679
2000-01-29,Naha,7.0,那覇,26.2126,127.679
2000-01-30,Naha,7.428571428571428,那覇,26.2126,127.679
2000-01-31,Naha,7.857142857142857,那覇,26.2126,127.679
2000-02-01,Naha,8.285714285714285,那覇,26.2126,127.679
2000-02-02,Naha,8.714285714285714,那覇,26.2126,127.679
2000-02-03,Naha,9.142857142857142,那覇,26.2126,127.679
2000-02-04,Naha,9.571428571428571,那覇,26.2126,127.679
2000-02-05,Naha,10.0,那覇,26.2126,127.679
2000-01-17,Ishigaki,1.0,石垣島,24.4064,124.1754
2000-01-18,Ishigaki,1.391304347826087,石垣島,24.4064,124.1754
2000-01-19,Ishigaki,1.7826086956521738,石垣島,24.4064,124.1754
2000-01-20,Ishigaki,2.1739130434782608,石垣島,24.4064,124.1754
2000-01-21,Ishigaki,2.5652173913043477,石垣島,24.4064,124.1754
2000-01-22,Ishigaki,2.9565217391304346,石垣島,24.4064,124.1754
2000-01-23,Ishigaki,3.347826086956522,石垣島,24.4064,124.1754
2000-01-24,Ishigaki,3.739130434782609,石垣島,24.4064,124.1754
2000-01-25,Ishigaki,4.130434782608695,石垣島,24.4064,124.1754
2000-01-26,Ishigaki,4.521739130434783,石垣島,24.4064,124.1754
2000-01-27,Ishigaki,4.913043478260869,石垣島,24.4064,124.1754
2000-01-28,Ishigaki,5.304347826086957,石垣島,24.4064,124.1754
2000-01-29,Ishigaki,5.695652173913044,石垣島,24.4064,124.1754
2000-01-30,Ishigaki,6.086956521739131,石垣島,24.4064,124.1754
2000-01-31,Ishigaki,6.478260869565218,石垣島,24.4064,124.1754
2000-02-01,Ishigaki,6.869565217391305,石垣島,24.4064,124.1754
2000-02-02,Ishigaki,7.260869565217392,石垣島,24.4064,124.1754
2000-02-03,Ishigaki,7.6521739130434785,石垣島,24.4064,124.1754
2000-02-04,Ishigaki,8.043478260869566,石垣島,24.4064,124.1754
2000-02-05,Ishigaki,8.434782608695652,石垣島,24.4064,124.1754
2000-02-06,Ishigaki,8.826086956521738,石垣島,24.4064,124.1754
2000-02-07,Ishigaki,9.217391304347826,石垣島,24.4064,124.1754
2000-02-08,Ishigaki,9.608695652173914,石垣島,24.4064,124.1754
2000-02-09,Ishigaki,10.0,石垣島,24.4064,124.1754
2000-01-19,Miyako-jima,1.0,宮古島,24.7674,125.3247
2000-01-20,Miyako-jima,1.45,宮古島,24.7674,125.3247
2000-01-21,Miyako-jima,1.9,宮古島,24.7674,125.3247
2000-01-22,Miyako-jima,2.35,宮古島,24.7674,125.3247
2000-01-23,Miyako-jima,2.8,宮古島,24.7674,125.3247
2000-01-24,Miyako-jima,3.25,宮古島,24.7674,125.3247
2000-01-25,Miyako-jima,3.7,宮古島,24.7674,125.3247
2000-01-26,Miyako-jima,4.15,宮古島,24.7674,125.3247
2000-01-27,Miyako-jima,4.6,宮古島,24.7674,125.3247
2000-01-28,Miyako-jima,5.05,宮古島,24.7674,125.3247
2000-01-29,Miyako-jima,5.5,宮古島,24.7674,125.3247
2000-01-30,Miyako-jima,5.95,宮古島,24.7674,125.3247
2000-01-31,Miyako-jima,6.4,宮古島,24.7674,125.3247
2000-02-01,Miyako-jima,6.8500000000000005,宮古島,24.7674,125.3247
2000-02-02,Miyako-jima,7.3,宮古島,24.7674,125.3247
2000-02-03,Miyako-jima,7.75,宮古島,24.7674,125.3247
2000-02-04,Miyako-jima,8.2,宮古島,24.7674,125.3247
2000-02-05,Miyako-jima,8.65,宮古島,24.7674,125.3247
2000-02-06,Miyako-jima,9.1,宮古島,24.7674,125.3247
2000-02-07,Miyako-jima,9.55,宮古島,24.7674,125.3247
2000-02-08,Miyako-jima,10.0,宮古島,24.7674,125.3247
2000-01-21,Naze,1.0,名瀬,35.4349,139.5356
2000-01-22,Naze,1.75,名瀬,35.4349,139.5356
2000-01-23,Naze,2.5,名瀬,35.4349,139.5356
2000-01-24,Naze,3.25,名瀬,35.4349,139.5356
2000-01-25,Naze,4.0,名瀬,35.4349,139.5356
2000-01-26,Naze,4.75,名瀬,35.4349,139.5356
2000-01-27,Naze,5.5,名瀬,35.4349,139.5356
2000-01-28,Naze,6.25,名瀬,35.4349,139.5356
2000-01-29,Naze,7.0,名瀬,35.4349,139.5356
2000-01-30,Naze,7.75,名瀬,35.4349,139.5356
2000-01-31,Naze,8.5,名瀬,35.4349,139.5356
2000-02-01,Naze,9.25,名瀬,35.4349,139.5356
2000-02-02,Naze,10.0,名瀬,35.4349,139.5356
2000-01-22,Minamidaitō-jima,1.0,南大東島,25.8488,131.2507
2000-01-23,Minamidaitō-jima,1.6428571428571428,南大東島,25.8488,131.2507
2000-01-24,Minamidaitō-jima,2.2857142857142856,南大東島,25.8488,131.2507
2000-01-25,Minamidaitō-jima,2.928571428571429,南大東島,25.8488,131.2507
2000-01-26,Minamidaitō-jima,3.5714285714285716,南大東島,25.8488,131.2507
2000-01-27,Minamidaitō-jima,4.214285714285714,南大東島,25.8488,131.2507
2000-01-28,Minamidaitō-jima,4.857142857142858,南大東島,25.8488,131.2507
2000-01-29,Minamidaitō-jima,5.5,南大東島,25.8488,131.2507
2000-01-30,Minamidaitō-jima,6.142857142857143,南大東島,25.8488,131.2507
2000-01-31,Minamidaitō-jima,6.7857142857142865,南大東島,25.8488,131.2507
2000-02-01,Minamidaitō-jima,7.428571428571429,南大東島,25.8488,131.2507
2000-02-02,Minamidaitō-jima,8.071428571428573,南大東島,25.8488,131.2507
2000-02-03,Minamidaitō-jima,8.714285714285715,南大東島,25.8488,131.2507
2000-02-04,Minamidaitō-jima,9.357142857142858,南大東島,25.8488,131.2507
2000-02-05,Minamidaitō-jima,10.0,南大東島,25.8488,131.2507
2000-03-19,Kōchi,1.0,高知,33.5481,133.2522
2000-03-20,Kōchi,2.0,高知,33.5481,133.2522
2000-03-21,Kōchi,3.0,高知,33.5481,133.2522
2000-03-22,Kōchi,4.0,高知,33.5481,133.2522
2000-03-23,Kōchi,5.0,高知,33.5481,133.2522
2000-03-24,Kōchi,6.0,高知,33.5481,133.2522
2000-03-25,Kōchi,7.0,高知,33.5481,133.2522
2000-03-26,Kōchi,8.0,高知,33.5481,133.2522
2000-03-27,Kōchi,9.0,高知,33.5481,133.2522
2000-03-28,Kōchi,10.0,高知,33.5481,133.2522
2000-03-21,Tokyo,1.0,東京,35.6804,139.769
2000-03-22,Tokyo,2.125,東京,35.6804,139.769
2000-03-23,Tokyo,3.25,東京,35.6804,139.769
2000-03-24,Tokyo,4.375,東京,35.6804,139.769
2000-03-25,Tokyo,5.5,東京,35.6804,139.769
2000-03-26,Tokyo,6.625,東京,35.6804,139.769
2000-03-27,Tokyo,7.75,東京,35.6804,139.769
2000-03-28,Tokyo,8.875,東京,35.6804,139.769
2000-03-29,Tokyo,10.0,東京,35.6804,139.769
2000-03-21,Kumamoto,1.0,熊本,32.8032,130.7079
2000-03-22,Kumamoto,1.8181818181818183,熊本,32.8032,130.7079
2000-03-23,Kumamoto,2.6363636363636367,熊本,32.8032,130.7079
2000-03-24,Kumamoto,3.4545454545454546,熊本,32.8032,130.7079
2000-03-25,Kumamoto,4.272727272727273,熊本,32.8032,130.7079
2000-03-26,Kumamoto,5.090909090909091,熊本,32.8032,130.7079
2000-03-27,Kumamoto,5.909090909090909,熊本,32.8032,130.7079
2000-03-28,Kumamoto,6.7272727272727275,熊本,32.8032,130.7079
2000-03-29,Kumamoto,7.545454545454546,熊本,32.8032,130.7079
2000-03-30,Kumamoto,8.363636363636363,熊本,32.8032,130.7079
2000-03-31,Kumamoto,9.181818181818182,熊本,32.8032,130.7079
2000-04-01,Kumamoto,10.0,熊本,32.8032,130.7079
2000-03-21,Shizuoka,1.0,静岡,35.0929,138.319
2000-03-22,Shizuoka,1.9,静岡,35.0929,138.319
2000-03-23,Shizuoka,2.8,静岡,35.0929,138.319
2000-03-24,Shizuoka,3.7,静岡,35.0929,138.319
2000-03-25,Shizuoka,4.6,静岡,35.0929,138.319
2000-03-26,Shizuoka,5.5,静岡,35.0929,138.319
2000-03-27,Shizuoka,6.4,静岡,35.0929,138.319
2000-03-28,Shizuoka,7.3,静岡,35.0929,138.319
2000-03-29,Shizuoka,8.2,静岡,35.0929,138.319
2000-03-30,Shizuoka,9.1,静岡,35.0929,138.319
2000-03-31,Shizuoka,10.0,静岡,35.0929,138.319
2000-03-21,Fukuoka,1.0,福岡,33.5663,130.7159
2000-03-22,Fukuoka,2.0,福岡,33.5663,130.7159
2000-03-23,Fukuoka,3.0,福岡,33.5663,130.7159
2000-03-24,Fukuoka,4.0,福岡,33.5663,130.7159
2000-03-25,Fukuoka,5.0,福岡,33.5663,130.7159
2000-03-26,Fukuoka,6.0,福岡,33.5663,130.7159
2000-03-27,Fukuoka,7.0,福岡,33.5663,130.7159
2000-03-28,Fukuoka,8.0,福岡,33.5663,130.7159
2000-03-29,Fukuoka,9.0,福岡,33.5663,130.7159
2000-03-30,Fukuoka,10.0,福岡,33.5663,130.7159
2000-03-22,Nagoya,1.0,名古屋,35.1815,136.9066
2000-03-23,Nagoya,1.8181818181818183,名古屋,35.1815,136.9066
2000-03-24,Nagoya,2.6363636363636367,名古屋,35.1815,136.9066
2000-03-25,Nagoya,3.4545454545454546,名古屋,35.1815,136.9066
2000-03-26,Nagoya,4.272727272727273,名古屋,35.1815,136.9066
2000-03-27,Nagoya,5.090909090909091,名古屋,35.1815,136.9066
2000-03-28,Nagoya,5.909090909090909,名古屋,35.1815,136.9066
2000-03-29,Nagoya,6.7272727272727275,名古屋,35.1815,136.9066
2000-03-30,Nagoya,7.545454545454546,名古屋,35.1815,136.9066
2000-03-31,Nagoya,8.363636363636363,名古屋,35.1815,136.9066
2000-04-01,Nagoya,9.181818181818182,名古屋,35.1815,136.9066
2000-04-02,Nagoya,10.0,名古屋,35.1815,136.9066
2000-03-22,Yokohama,1.0,横浜,35.4437,139.638
2000-03-23,Yokohama,2.0,横浜,35.4437,139.638
2000-03-24,Yokohama,3.0,横浜,35.4437,139.638
2000-03-25,Yokohama,4.0,横浜,35.4437,139.638
2000-03-26,Yokohama,5.0,横浜,35.4437,139.638
2000-03-27,Yokohama,6.0,横浜,35.4437,139.638
2000-03-28,Yokohama,7.0,横浜,35.4437,139.638
2000-03-29,Yokohama,8.0,横浜,35.4437,139.638
2000-03-30,Yokohama,9.0,横浜,35.4437,139.638
2000-03-31,Yokohama,10.0,横浜,35.4437,139.638
2000-03-22,Nagasaki,1.0,長崎,32.7503,129.8779
2000-03-23,Nagasaki,1.9,長崎,32.7503,129.8779
2000-03-24,Nagasaki,2.8,長崎,32.7503,129.8779
2000-03-25,Nagasaki,3.7,長崎,32.7503,129.8779
2000-03-26,Nagasaki,4.6,長崎,32.7503,129.8779
2000-03-27,Nagasaki,5.5,長崎,32.7503,129.8779
2000-03-28,Nagasaki,6.4,長崎,32.7503,129.8779
2000-03-29,Nagasaki,7.3,長崎,32.7503,129.8779
2000-03-30,Nagasaki,8.2,長崎,32.7503,129.8779
2000-03-31,Nagasaki,9.1,長崎,32.7503,129.8779
2000-04-01,Nagasaki,10.0,長崎,32.7503,129.8779
2000-03-22,Saga,1.0,佐賀,33.3078,130.2271
2000-03-23,Saga,2.0,佐賀,33.3078,130.2271
2000-03-24,Saga,3.0,佐賀,33.3078,130.2271
2000-03-25,Saga,4.0,佐賀,33.3078,130.2271
2000-03-26,Saga,5.0,佐賀,33.3078,130.2271
2000-03-27,Saga,6.0,佐賀,33.3078,130.2271
2000-03-28,Saga,7.0,佐賀,33.3078,130.2271
2000-03-29,Saga,8.0,佐賀,33.3078,130.2271
2000-03-30,Saga,9.0,佐賀,33.3078,130.2271
2000-03-31,Saga,10.0,佐賀,33.3078,130.2271
2000-03-22,Miyazaki,1.0,宮崎,32.6036,131.4413
2000-03-23,Miyazaki,1.8181818181818183,宮崎,32.6036,131.4413
2000-03-24,Miyazaki,2.6363636363636367,宮崎,32.6036,131.4413
2000-03-25,Miyazaki,3.4545454545454546,宮崎,32.6036,131.4413
2000-03-26,Miyazaki,4.272727272727273,宮崎,32.6036,131.4413
2000-03-27,Miyazaki,5.090909090909091,宮崎,32.6036,131.4413
2000-03-28,Miyazaki,5.909090909090909,宮崎,32.6036,131.4413
2000-03-29,Miyazaki,6.7272727272727275,宮崎,32.6036,131.4413
2000-03-30,Miyazaki,7.545454545454546,宮崎,32.6036,131.4413
2000-03-31,Miyazaki,8.363636363636363,宮崎,32.6036,131.4413
2000-04-01,Miyazaki,9.181818181818182,宮崎,32.6036,131.4413
2000-04-02,Miyazaki,10.0,宮崎,32.6036,131.4413
2000-03-22,Hiroshima,1.0,広島,34.3853,132.4553
2000-03-23,Hiroshima,1.8181818181818183,広島,34.3853,132.4553
2000-03-24,Hiroshima,2.6363636363636367,広島,34.3853,132.4553
2000-03-25,Hiroshima,3.4545454545454546,広島,34.3853,132.4553
2000-03-26,Hiroshima,4.272727272727273,広島,34.3853,132.4553
2000-03-27,Hiroshima,5.090909090909091,広島,34.3853,132.4553
2000-03-28,Hiroshima,5.909090909090909,広島,34.3853,132.4553
2000-03-29,Hiroshima,6.7272727272727275,広島,34.3853,132.4553
2000-03-30,Hiroshima,7.545454545454546,広島,34.3853,132.4553
2000-03-31,Hiroshima,8.363636363636363,広島,34.3853,132.4553
2000-04-01,Hiroshima,9.181818181818182,広島,34.3853,132.4553
2000-04-02,Hiroshima,10.0,広島,34.3853,132.4553
2000-03-23,Ōita,1.0,大分,33.1589,131.3611
2000-03-24,Ōita,1.8181818181818183,大分,33.1589,131.3611
2000-03-25,Ōita,2.6363636363636367,大分,33.1589,131.3611
2000-03-26,Ōita,3.4545454545454546,大分,33.1589,131.3611
2000-03-27,Ōita,4.272727272727273,大分,33.1589,131.3611
2000-03-28,Ōita,5.090909090909091,大分,33.1589,131.3611
2000-03-29,Ōita,5.909090909090909,大分,33.1589,131.3611
2000-03-30,Ōita,6.7272727272727275,大分,33.1589,131.3611
2000-03-31,Ōita,7.545454545454546,大分,33.1589,131.3611
2000-04-01,Ōita,8.363636363636363,大分,33.1589,131.3611
2000-04-02,Ōita,9.181818181818182,大分,33.1589,131.3611
2000-04-03,Ōita,10.0,大分,33.1589,131.3611
2000-03-23,Matsuyama,1.0,松山,33.8394,132.7653
2000-03-24,Matsuyama,1.9,松山,33.8394,132.7653
2000-03-25,Matsuyama,2.8,松山,33.8394,132.7653
2000-03-26,Matsuyama,3.7,松山,33.8394,132.7653
2000-03-27,Matsuyama,4.6,松山,33.8394,132.7653
2000-03-28,Matsuyama,5.5,松山,33.8394,132.7653
2000-03-29,Matsuyama,6.4,松山,33.8394,132.7653
2000-03-30,Matsuyama,7.3,松山,33.8394,132.7653
2000-03-31,Matsuyama,8.2,松山,33.8394,132.7653
2000-04-01,Matsuyama,9.1,松山,33.8394,132.7653
2000-04-02,Matsuyama,10.0,松山,33.8394,132.7653
2000-03-23,Gifu,1.0,岐阜,35.4234,136.7606
2000-03-24,Gifu,2.0,岐阜,35.4234,136.7606
2000-03-25,Gifu,3.0,岐阜,35.4234,136.7606
2000-03-26,Gifu,4.0,岐阜,35.4234,136.7606
2000-03-27,Gifu,5.0,岐阜,35.4234,136.7606
2000-03-28,Gifu,6.0,岐阜,35.4234,136.7606
2000-03-29,Gifu,7.0,岐阜,35.4234,136.7606
2000-03-30,Gifu,8.0,岐阜,35.4234,136.7606
2000-03-31,Gifu,9.0,岐阜,35.4234,136.7606
2000-04-01,Gifu,10.0,岐阜,35.4234,136.7606
2000-03-23,Wakayama,1.0,和歌山,34.2304,135.1707
2000-03-24,Wakayama,2.0,和歌山,34.2304,135.1707
2000-03-25,Wakayama,3.0,和歌山,34.2304,135.1707
2000-03-26,Wakayama,4.0,和歌山,34.2304,135.1707
2000-03-27,Wakayama,5.0,和歌山,34.2304,135.1707
2000-03-28,Wakayama,6.0,和歌山,34.2304,135.1707
2000-03-29,Wakayama,7.0,和歌山,34.2304,135.1707
2000-03-30,Wakayama,8.0,和歌山,34.2304,135.1707
2000-03-31,Wakayama,9.0,和歌山,34.2304,135.1707
2000-04-01,Wakayama,10.0,和歌山,34.2304,135.1707
2000-03-24,Kofu,1.0,甲府,35.6621,138.5683
