稚内_temp,稚内,稚内,旭川_temp,旭川,旭川,網走_temp,網走,網走,札幌_temp,札幌,札幌,帯広_temp,帯広,帯広,釧路_temp,釧路,釧路,室蘭_temp,室蘭,室蘭,函館_temp,函館,函館,青森_temp,青森,青森,秋田_temp,秋田,秋田,盛岡_temp,盛岡,盛岡,山形_temp,山形,山形,仙台_temp,仙台,仙台,福島_temp,福島,福島,新潟_temp,新潟,新潟,金沢_temp,金沢,金沢,富山_temp,富山,富山,長野_temp,長野,長野,宇都宮_temp,宇都宮,宇都宮,福井_temp,福井,福井,前橋_temp,前橋,前橋,熊谷_temp,熊谷,熊谷,水戸_temp,水戸,水戸,岐阜_temp,岐阜,岐阜,名古屋_temp,名古屋,名古屋,甲府_temp,甲府,甲府,銚子_temp,銚子,銚子,東京_temp,東京,東京,静岡_temp,静岡,静岡,横浜_temp,横浜,横浜,鳥取_temp,鳥取,鳥取,京都_temp,京都,京都,彦根_temp,彦根,彦根,広島_temp,広島,広島,岡山_temp,岡山,岡山,神戸_temp,神戸,神戸,大阪_temp,大阪,大阪,和歌山_temp,和歌山,和歌山,奈良_temp,奈良,奈良,松山_temp,松山,松山,高松_temp,高松,高松,高知_temp,高知,高知,徳島_temp,徳島,徳島,下関_temp,下関,下関,福岡_temp,福岡,福岡,佐賀_temp,佐賀,佐賀,大分_temp,大分,大分,長崎_temp,長崎,長崎,熊本_temp,熊本,熊本,鹿児島_temp,鹿児島,鹿児島,宮崎_temp,宮崎,宮崎,石垣島_temp,石垣島,石垣島,南大東島_temp,南大東（南大東島）,南大東（南大東島）,宮古島_temp,宮古島,宮古島,那覇_temp,那覇,那覇,津_temp,津,津,名瀬_temp,名瀬,名瀬,松江_temp,松江,松江
年月,平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃),平均気温(℃)
2001/3,-2.4,8,1,-2.9,8,1,-3.0,8,1,0.2,8,1,-1.8,8,1,-1.5,8,1,0.5,8,1,1.2,8,1,2.1,8,1,3.7,8,1,2.3,8,1,3.3,8,1,4.9,8,1,5.4,8,1,5.9,8,1,7.0,8,1,6.5,8,1,3.5,8,1,7.0,8,1,6.9,8,1,7.6,8,1,8.3,8,1,6.7,8,1,8.2,8,1,8.5,8,1,8.0,8,1,9.3,8,1,9.8,8,1,10.4,8,1,9.4,8,1,7.5,8,1,8.6,8,1,6.7,8,1,9.3,8,1,9.2,8,1,9.6,8,1,9.7,8,1,9.9,8,1,7.9,8,1,10.0,8,1,9.5,8,1,11.1,8,1,9.8,8,1,10.6,8,1,10.9,8,1,10.2,8,1,10.5,8,1,11.2,8,1,10.8,8,1,12.2,8,1,12.1,8,1,20.4,8,1,18.5,8,1,19.3,8,1,18.3,8,1,8.5,8,1,16.2,8,1,7.7,8,1
2001/4,4.7,8,1,6.1,8,1,6.2,8,1,8.3,8,1,7.2,8,1,4.6,8,1,6.3,8,1,7.9,8,1,9.1,8,1,10.7,8,1,10.1,8,1,11.4,8,1,11.6,8,1,12.6,8,1,12.0,8,1,13.0,8,1,12.6,8,1,10.9,8,1,13.4,8,1,13.2,8,1,14.2,8,1,14.6,8,1,12.8,8,1,14.9,8,1,14.8,8,1,14.0,8,1,14.3,8,1,15.7,8,1,15.3,8,1,15.0,8,1,13.0,8,1,14.7,8,1,12.7,8,1,15.1,8,1,14.9,8,1,15.5,8,1,15.5,8,1,14.9,8,1,13.6,8,1,15.0,8,1,14.7,8,1,15.9,8,1,14.7,8,1,15.2,8,1,15.3,8,1,15.2,8,1,15.0,8,1,15.8,8,1,16.1,8,1,17.0,8,1,16.1,8,1,23.3,8,1,21.6,8,1,22.4,8,1,21.2,8,1,14.0,8,1,19.7,8,1,13.2,8,1
2002/3,0.5,8,1,0.0,8,1,-0.3,8,1,2.5,8,1,1.1,8,1,0.6,8,1,2.7,8,1,3.4,8,1,4.4,8,1,5.5,8,1,4.0,8,1,6.1,8,1,7.5,8,1,7.8,8,1,7.7,8,1,9.0,8,1,8.6,8,1,5.8,8,1,9.4,8,1,8.7,8,1,9.6,8,1,10.5,8,1,9.2,8,1,10.3,8,1,10.4,8,1,10.4,8,1,11.5,8,1,12.2,8,1,12.3,8,1,11.8,8,1,9.5,8,1,10.3,8,1,8.5,8,1,11.0,8,1,10.9,8,1,11.4,8,1,11.6,8,1,11.6,8,1,9.8,8,1,11.5,8,1,11.4,8,1,12.5,8,1,11.6,8,1,12.2,8,1,12.5,8,1,11.8,8,1,12.2,8,1,12.7,8,1,12.4,8,1,14.0,8,1,13.8,8,1,21.8,8,1,19.3,8,1,20.9,8,1,19.6,8,1,10.5,8,1,17.8,8,1,9.6,8,1
2002/4,6.8,8,1,8.5,8,1,6.9,8,1,9.6,8,1,7.6,8,1,4.8,8,1,7.4,8,1,9.7,8,1,10.7,8,1,11.8,8,1,10.5,8,1,12.2,8,1,11.9,8,1,13.4,8,1,13.9,8,1,14.7,8,1,14.4,8,1,12.7,8,1,14.1,8,1,14.6,8,1,14.5,8,1,15.1,8,1,13.4,8,1,15.8,8,1,15.8,8,1,15.2,8,1,14.9,8,1,16.1,8,1,16.4,8,1,15.6,8,1,14.8,8,1,15.8,8,1,13.9,8,1,15.7,8,1,16.0,8,1,16.3,8,1,16.6,8,1,16.4,8,1,15.1,8,1,15.9,8,1,16.0,8,1,16.6,8,1,16.1,8,1,15.8,8,1,16.6,8,1,16.2,8,1,15.7,8,1,16.5,8,1,17.0,8,1,17.7,8,1,17.6,8,1,24.6,8,1,21.7,8,1,23.9,8,1,22.4,8,1,15.3,8,1,20.6,8,1,14.7,8,1
2003/3,-0.7,8,1,-2.1,8,1,-2.5,8,1,0.7,8,1,-1.1,8,1,-1.6,8,1,0.8,8,1,1.4,8,1,2.3,8,1,3.3,8,1,1.7,8,1,3.1,8,1,4.8,8,1,4.9,8,1,5.5,8,1,6.3,8,1,6.0,8,1,2.7,8,1,6.2,8,1,6.0,8,1,6.4,8,1,7.3,8,1,5.9,8,1,8.1,8,1,7.9,8,1,7.0,8,1,8.1,8,1,8.7,8,1,9.5,8,1,8.3,8,1,6.8,8,1,7.3,8,1,6.3,8,1,8.3,8,1,7.9,8,1,8.4,8,1,8.4,8,1,8.4,8,1,6.5,8,1,8.9,8,1,8.2,8,1,10.4,8,1,8.5,8,1,9.4,8,1,9.9,8,1,9.4,8,1,9.4,8,1,10.5,8,1,10.2,8,1,12.2,8,1,11.4,8,1,20.1,8,1,18.4,8,1,19.4,8,1,18.4,8,1,7.8,8,1,16.6,8,1,6.8,8,1
2003/4,5.3,8,1,6.7,8,1,5.1,8,1,8.2,8,1,6.6,8,1,3.6,8,1,6.1,8,1,8.1,8,1,9.3,8,1,9.9,8,1,9.3,8,1,10.7,8,1,11.1,8,1,12.5,8,1,11.8,8,1,12.8,8,1,12.6,8,1,11.3,8,1,13.0,8,1,13.2,8,1,13.4,8,1,14.0,8,1,12.5,8,1,14.8,8,1,14.8,8,1,14.7,8,1,13.8,8,1,15.1,8,1,16.0,8,1,14.7,8,1,13.5,8,1,15.1,8,1,12.7,8,1,15.2,8,1,15.4,8,1,15.7,8,1,15.9,8,1,16.0,8,1,14.3,8,1,15.4,8,1,15.2,8,1,16.8,8,1,15.6,8,1,15.2,8,1,16.1,8,1,16.1,8,1,15.7,8,1,16.4,8,1,17.0,8,1,18.1,8,1,17.8,8,1,24.2,8,1,22.1,8,1,23.4,8,1,22.6,8,1,14.4,8,1,20.9,8,1,13.3,8,1
2004/3,-0.5,8,1,-1.7,8,1,-1.1,8,1,0.7,8,1,-1.4,8,1,-0.8,8,1,1.1,8,1,1.8,8,1,2.9,8,1,4.2,8,1,2.7,8,1,4.1,8,1,5.4,8,1,5.7,8,1,6.4,8,1,7.8,8,1,7.4,8,1,4.5,8,1,7.3,8,1,7.4,8,1,7.8,8,1,8.5,8,1,7.1,8,1,9.0,8,1,9.1,8,1,8.1,8,1,8.6,8,1,9.8,8,1,10.4,8,1,9.5,8,1,8.1,8,1,9.1,8,1,7.3,8,1,9.7,8,1,9.5,8,1,10.0,8,1,10.2,8,1,10.1,8,1,8.0,8,1,10.3,8,1,9.5,8,1,11.2,8,1,10.0,8,1,10.5,8,1,10.9,8,1,10.4,8,1,10.0,8,1,11.2,8,1,11.1,8,1,13.2,8,1,12.2,8,1,20.7,8,1,19.2,8,1,20.2,8,1,19.2,8,1,8.8,8,1,17.1,8,1,8.1,8,1
2004/4,4.4,8,1,4.5,8,1,3.8,8,1,6.6,8,1,5.7,8,1,3.8,8,1,6.0,8,1,7.2,8,1,8.5,8,1,9.2,8,1,8.2,8,1,10.8,8,1,10.9,8,1,12.7,8,1,12.0,8,1,13.4,8,1,13.2,8,1,11.3,8,1,13.9,8,1,13.6,8,1,14.7,8,1,15.4,8,1,12.9,8,1,15.7,8,1,15.6,8,1,15.4,8,1,14.0,8,1,16.4,8,1,16.3,8,1,15.9,8,1,14.0,8,1,15.4,8,1,13.5,8,1,15.5,8,1,16.1,8,1,16.0,8,1,16.4,8,1,16.1,8,1,14.5,8,1,15.8,8,1,16.0,8,1,16.8,8,1,16.0,8,1,15.7,8,1,16.2,8,1,15.8,8,1,15.8,8,1,16.1,8,1,16.7,8,1,17.7,8,1,17.0,8,1,23.0,8,1,21.6,8,1,22.4,8,1,21.9,8,1,15.4,8,1,20.2,8,1,13.9,8,1
2005/3,-1.0,8,1,-1.8,8,2,-1.8,8,1,0.1,8,1,-1.4,8,1,-1.0,8,1,0.6,8,1,0.9,8,1,1.4,8,1,3.0,8,1,1.1,8,1,2.4,8,1,4.1,8,1,4.4,8,1,5.0,8,1,6.8,8,1,5.9,8,1,3.0,8,1,6.1,8,1,6.1,8,1,6.6,8,1,7.2,8,1,5.8,8,1,7.8,8,1,7.8,8,1,7.6,8,1,8.0,8,1,9.0,8,1,10.0,8,1,9.0,8,1,6.7,8,1,7.7,8,1,6.4,8,1,8.1,8,1,8.4,8,1,9.0,8,1,9.2,8,1,9.2,8,1,7.1,8,1,8.7,8,1,8.8,8,1,9.6,8,1,9.4,8,1,9.4,8,1,9.6,8,1,8.8,8,1,9.4,8,1,9.6,8,1,9.2,8,1,10.9,8,1,10.7,8,1,18.5,8,1,17.8,8,1,17.8,8,1,17.2,8,1,8.2,8,1,15.4,8,1,7.0,8,1
2005/4,3.9,8,1,4.2,8,2,3.5,8,1,6.2,8,1,5.6,8,1,4.0,8,1,5.8,8,1,7.4,8,1,8.1,8,1,9.3,8,1,8.5,8,1,10.3,8,1,11.0,8,1,12.1,8,1,11.7,8,1,13.7,8,1,13.2,8,1,10.6,8,1,12.8,8,1,13.7,8,1,13.7,8,1,14.1,8,1,12.1,8,1,15.2,8,1,15.0,8,1,14.5,8,1,13.0,8,1,15.1,8,1,15.5,8,1,14.7,8,1,14.3,8,1,15.3,8,1,13.2,8,1,15.6,8,1,15.8,8,1,15.9,8,1,16.2,8,1,15.8,8,1,14.3,8,1,15.8,8,1,15.7,8,1,16.5,8,1,15.5,8,1,15.8,8,1,16.7,8,1,16.0,8,1,15.7,8,1,16.3,8,1,16.6,8,1,17.5,8,1,17.1,8,1,23.2,8,1,21.7,8,1,22.2,8,1,21.5,8,1,14.7,8,1,19.3,8,1,14.2,8,1
2006/3,-0.9,8,1,-1.1,8,2,-0.5,8,1,1.3,8,1,0.3,8,1,0.6,8,1,1.4,8,1,1.9,8,1,2.3,8,1,3.7,8,1,2.1,8,1,3.5,8,1,5.0,8,1,5.4,8,1,5.6,8,1,6.5,8,1,6.0,8,1,3.9,8,1,7.4,8,1,6.1,8,1,7.5,8,1,8.4,8,1,7.2,8,1,7.7,8,1,7.8,8,1,8.1,8,1,9.5,8,1,9.8,8,1,10.0,8,1,9.6,8,1,6.6,8,1,7.5,8,1,6.0,8,1,8.1,8,1,8.0,8,1,8.6,8,1,8.6,8,1,8.7,8,1,6.5,8,1,8.8,8,1,8.2,8,1,10.1,8,1,8.5,8,1,9.6,8,1,10.1,8,1,9.4,8,1,9.3,8,1,10.2,8,1,10.0,8,1,11.8,8,1,10.8,8,1,20.5,8,1,18.8,8,1,19.4,8,1,18.4,8,1,7.7,8,1,16.6,8,1,7.0,8,1
2006/4,2.1,8,1,3.2,8,2,2.0,8,1,5.2,8,1,4.0,8,1,2.8,8,1,4.3,8,1,5.4,8,1,6.4,8,1,8.1,8,1,6.7,8,1,8.4,8,1,9.0,8,1,9.9,8,1,10.2,8,1,11.3,8,1,11.0,8,1,9.1,8,1,11.6,8,1,11.6,8,1,12.2,8,1,12.9,8,1,11.1,8,1,13.0,8,1,13.0,8,1,13.1,8,1,12.7,8,1,13.6,8,1,13.9,8,1,13.3,8,1,12.3,8,1,12.6,8,1,10.9,8,1,13.2,8,1,13.1,8,1,13.4,8,1,13.6,8,1,13.7,8,1,11.8,8,1,13.5,8,1,13.2,8,1,15.0,8,1,13.7,8,1,13.7,8,1,14.6,8,1,14.1,8,1,14.2,8,1,14.7,8,1,15.0,8,1,16.5,8,1,15.6,8,1,23.9,8,1,21.5,8,1,22.8,8,1,21.2,8,1,12.9,8,1,19.7,8,1,12.0,8,1
2007/3,-0.7,8,1,-1.5,8,2,-1.2,8,1,0.9,8,1,-0.7,8,1,-0.1,8,1,1.2,8,1,1.5,8,1,2.3,8,1,3.5,8,1,1.9,8,1,3.6,8,1,5.3,8,1,6.0,8,1,6.0,8,1,7.3,8,1,6.7,8,1,4.4,8,1,8.0,8,1,7.1,8,1,8.2,8,1,9.3,8,1,8.1,8,1,8.9,8,1,9.0,8,1,9.1,8,1,10.4,8,1,10.8,8,1,11.2,8,1,10.6,8,1,8.0,8,1,8.6,8,1,7.3,8,1,9.6,8,1,9.4,8,1,9.9,8,1,10.1,8,1,10.2,8,1,7.8,8,1,10.4,8,1,9.6,8,1,11.3,8,1,10.3,8,1,10.8,8,1,11.3,8,1,10.7,8,1,10.6,8,1,11.9,8,1,11.5,8,1,13.3,8,1,12.1,8,1,21.6,8,1,19.4,8,1,20.7,8,1,19.6,8,1,9.3,8,1,17.5,8,1,8.4,8,1
2007/4,3.5,8,1,4.5,8,2,3.4,8,1,6.3,8,1,4.7,8,1,3.1,8,1,5.6,8,1,6.6,8,1,7.6,8,1,8.9,8,1,7.1,8,1,9.2,8,1,9.5,8,1,10.5,8,1,10.8,8,1,12.0,8,1,11.8,8,1,9.4,8,1,11.7,8,1,11.9,8,1,12.3,8,1,12.8,8,1,11.6,8,1,14.0,8,1,14.0,8,1,12.9,8,1,13.5,8,1,13.7,8,1,14.4,8,1,13.5,8,1,12.3,8,1,13.5,8,1,11.9,8,1,14.0,8,1,14.1,8,1,14.4,8,1,14.6,8,1,14.6,8,1,12.5,8,1,14.4,8,1,14.3,8,1,15.3,8,1,14.6,8,1,14.6,8,1,15.1,8,1,14.4,8,1,14.4,8,1,15.1,8,1,15.1,8,1,16.3,8,1,15.5,8,1,22.7,8,1,20.6,8,1,21.8,8,1,20.7,8,1,13.6,8,1,18.8,8,1,12.8,8,1
2008/3,0.6,8,1,0.6,8,2,-0.5,8,1,3.3,8,1,2.0,8,1,0.7,8,1,3.0,8,1,3.7,8,1,4.6,8,1,5.8,8,1,4.6,8,1,5.0,8,1,6.6,8,1,6.8,8,1,7.5,8,1,8.2,8,1,7.9,8,1,5.3,8,1,8.2,8,1,8.0,8,1,9.0,8,1,9.6,8,1,7.8,8,1,10.0,8,1,10.4,8,1,9.4,8,1,10.4,8,1,10.7,8,1,11.3,8,1,10.4,8,1,8.5,8,1,9.6,8,1,8.0,8,1,9.8,8,1,10.0,8,1,10.6,8,1,10.8,8,1,10.6,8,1,8.7,8,1,10.1,8,1,10.1,8,1,11.7,8,1,10.6,8,1,10.4,8,1,10.7,8,1,10.5,8,1,10.4,8,1,11.3,8,1,11.2,8,1,13.1,8,1,12.1,8,1,20.5,8,1,18.8,8,1,19.6,8,1,18.7,8,1,9.8,8,1,16.7,8,1,8.4,8,1
2008/4,6.0,8,1,7.5,8,2,5.0,8,1,9.4,8,1,6.7,8,1,4.3,8,1,6.9,8,1,8.6,8,1,9.3,8,1,11.5,8,1,9.9,8,1,10.9,8,1,11.1,8,1,11.9,8,1,12.6,8,1,13.0,8,1,12.7,8,1,11.0,8,1,13.1,8,1,13.1,8,1,13.6,8,1,14.2,8,1,11.9,8,1,15.0,8,1,15.3,8,1,14.2,8,1,12.6,8,1,14.7,8,1,15.4,8,1,14.3,8,1,13.0,8,1,14.4,8,1,12.7,8,1,14.9,8,1,15.0,8,1,15.1,8,1,15.4,8,1,15.0,8,1,13.5,8,1,14.8,8,1,14.9,8,1,16.1,8,1,15.4,8,1,14.8,8,1,15.0,8,1,15.0,8,1,14.8,8,1,15.3,8,1,15.6,8,1,17.0,8,1,15.9,8,1,23.5,8,1,21.2,8,1,22.5,8,1,21.4,8,1,14.8,8,1,19.6,8,1,13.1,8,1
