prefecture,total,pref_eng
北海道,271,Hokkaido
青森,48,Aomori
岩手,27,Iwate
宮城,119,Miyagi
秋田,17,Akita
山形,15,Yamagata
福島,59,Fukushima
茨城,329,Ibaraki
栃木,165,Tochigi
群馬,109,Gunma
埼玉,1652,Saitama
千葉,2122,Chiba
東京,4921,Tokyo
神奈川,3720,Kanagawa
新潟,85,Niigata
富山,48,Toyama
石川,77,Ishikawa
福井,48,Fukui
山梨,71,Yamanashi
長野,100,Nagano
岐阜,311,Gifu
静岡,500,Shizuoka
愛知,1861,Aichi
三重,309,Mie
滋賀,291,Shiga
京都,894,Kyoto
大阪,4798,Osaka
兵庫,3016,Hyogo
奈良,526,Nara
和歌山,198,Wakayama
鳥取,226,Tottori
島根,832,Shimane
岡山,1285,Okayama
広島,66025,Hiroshima
山口,2415,Yamaguchi
徳島,126,Tokushima
香川,278,Kagawa
愛媛,608,Ehime
高知,123,Kochi
福岡,5803,Fukuoka
佐賀,866,Saga
長崎,38025,Nagasaki
熊本,918,Kumamoto
大分,516,Oita
宮崎,372,Miyazaki
鹿児島,587,Kagoshima
沖縄,132,Okinawa