都道府県市	人数
1 北海道	271
2 青森	48
3 岩手	27
4 宮城	119
5 秋田	17
6 山形	15
7 福島	59
8 茨城	329
9 栃木	165
10 群馬	109
11 埼玉	1,652
12 千葉	2,122
13 東京	4,921
14 神奈川	3,720
15 新潟	85
16 富山	48
17 石川	77
18 福井	48
19 山梨	71
20 長野	100
21 岐阜	311
22 静岡	500
23 愛知	1,861
24 三重	309
25 滋賀	291
26 京都	894
27 大阪	4,798
28 兵庫	3,016
29 奈良	526
30 和歌山	198
31 鳥取	226
32 島根	832
33 岡山	1,285
34 広島	18,393
35 山口	2,415
36 徳島	126
37 香川	278
38 愛媛	608
39 高知	123
40 福岡	5,803
41 佐賀	866
42 長崎	10,620
43 熊本	918
44 大分	516
45 宮崎	372
46 鹿児島	587　　
47 沖縄	132
48 広島市	47,632
49 長崎市	27,405
合計	145,844