year_japan,year
昭和20年,1945
昭和21年,1946
昭和22年,1947
昭和23年,1948
昭和24年,1949
昭和25年,1950
昭和26年,1951
昭和27年,1952
昭和28年,1953
昭和29年,1954
昭和30年,1955
31年,1956
32年,1957
33年,1958
34年,1959
35年,1960
36年,1961
37年,1962
38年,1963
39年,1964
40年,1965
41年,1966
42年,1967
43年,1968
44年,1969
45年,1970
46年,1971
47年,1972
48年,1973
49年,1974
50年,1975
51年,1976
52年,1977
53年,1978
54年,1979
55年,1980
56年,1981
57年,1982
58年,1983
59年,1984
60年,1985
61年,1986
62年,1987
63年,1988
平成元年,1989
2年,1990
3年,1991
4年,1992
5年,1993
6年,1994
7年,1995
8年,1996
9年,1997
10年,1998
11年,1999
12年,2000
13年,2001
14年,2002
15年,2003
16年,2004
17年,2005
18年,2006
19年,2007
20年,2008
21年,2009
22年,2010
23年,2011
24年,2012
25年,2013
26年,2014
27年,2015
28年,2016
29年,2017
30年,2018