year,male,female,sex_unknown,total,accumulated_total
1952,31088,26798,16,57902,57902
1953,169,220,2,391,58293
1954,85,126,1,212,58505
1955,244,279,,523,59028
1956,328,333,19,680,59708
1957,96,89,,185,59893
1958,77,96,,173,60066
1959,102,80,5,187,60253
1960,72,89,,161,60414
1961,66,73,,139,60553
1962,57,68,,125,60678
1963,56,71,,127,60805
1964,85,84,,169,60974
1965,239,230,,469,61443
1966,289,261,,550,61993
1967,204,226,,430,62423
1968,518,583,,1101,63524
1969,5022,4174,15,9211,72735
1970,1712,1892,2,3606,76341
1971,902,843,,1745,78086
1972,1188,909,,2097,80183
1973,1437,1213,,2650,82833
1974,995,975,,1970,84803
1975,1175,997,,2172,86975
1976,1161,998,,2159,89134
1977,1194,1088,,2282,91416
1978,1185,994,,2179,93595
1979,1125,965,,2090,95685
1980,1204,1075,,2279,97964
1981,1496,1257,,2753,100717
1982,1650,1410,,3060,103777
1983,3075,2104,,5179,108956
1984,2526,1789,,4315,113271
1985,17009,8410,,25419,138690
1986,27001,22419,,4900,143590
1987,26774,19427,,4587,148177
1988,2518,1958,,4473,152650
1989,2481,1943,,4421,157071
1990,5547,4628,,10172,167243
1991,2672,2115,,4781,172024
1992,2721,2223,,4940,176964
1993,2646,2232,,4872,181836
1994,2811,2298,1,5104,186940
1995,2728,2366,,5080,192020
1996,2759,2271,,5025,197045
1997,2755,2321,,5073,202118
1998,2688,2239,,4927,207045
1999,2705,2366,,5071,212116
2000,2625,2396,,5021,217137
2001,2577,2180,,4756,221893
2002,2572,2405,,4977,226870
2003,2636,2414,,5050,231920
2004,2631,2511,,5142,237062
2005,2782,2593,,5375,242437
2006,2766,2584,,5350,247787
2007,2604,2617,,5221,253008
2008,2620,2682,,5302,258310
2009,2792,2843,,5635,263945
2010,2656,2845,,5501,269446
2011,2820,2965,,5784,275230
2012,2698,3031,,5729,280959
2013,2709,3150,,5859,286818
2014,2528,2979,,5507,292325
2015,2411,2948,,5359,297684
2016,2478,3033,,5511,303195
2017,2454,3076,,5530,308725
2018,2423,2970,,5393,314118