年度,男,女,合計,累計,,累計２
43,,,26902,26902,,26902
44,,,12649,39551,,39551
45,,,2150,41701,,41701
46,,,2035,43736,,43736
47,,,1717,45453,,45453
48,686,552,1238,46691,,46691
49,566,546,1112,47803,,47803
50,537,517,1054,48857,,48857
51,579,574,1153,50010,,50010
52,612,598,1210,51220,,51220
53,621,613,1234,52454,,52454
54,625,638,1263,53717,,53717
55,685,701,1386,55103,,55103
56,796,791,1587,56690,,56690
57,1029,859,1888,58578,,58578
58,1846,1545,3391,61969,,61969
59,1195,1022,2217,64186,,64186
60,1297,1117,2414,66600,,66600
61,3811,2397,6208,72808,,72808
62,1233,1126,2359,75167,,75167
63,1214,1081,2295,77462,,77462
元,1178,1094,2272,79734,,79734
2,4648,4044,8692,88426,,88426
3,1228,1202,2430,90856,,90856
4,2408,2584,4992,95845,,95848
5,1698,1702,3400,99245,,99248
6,1544,1486,3030,102275,,102278
7,1526,1547,3073,105348,,105351
8,1340,1351,2691,108039,,108042
9,3920,3711,7631,115669,,115673
10,1625,1561,3186,118855,,118859
11,1328,1405,2733,121588,,121592
12,1312,1291,2603,124191,,124195
13,1225,1214,2439,126630,,126634
14,1224,1340,2564,129193,,129198
15,1267,1425,2692,131885,,131890
16,1361,1346,2707,134592,,134597
17,1383,1365,2748,137339,,137345
18,1366,1465,2831,140144,,140176
19,1466,1603,3069,143124,,143245
20,1406,1652,3058,145984,,146303
21,1590,1714,3304,149266,,149607
22,1517,1597,3114,152276,,152721
23,1504,1784,3288,155546,,156009
24,1542,1763,3305,158754,,159314
25,1603,1801,3404,162083,,162718
26,1538,1817,3355,165409,,166073
27,1510,1863,3373,168767,,169446
28,1510,1977,3487,172230,,172933
29,1522,2029,3551,175743,,176484
30,1562,1949,3511,179226,,179995