"コード","撮影者名","提供者名","写真タイトル","撮影年月日","撮影場所"
"A-828","林　重男","広島平和記念資料館,","爆心地・放射能測定","1945/10/01-10","細工町"
"A-829","林　重男","広島平和記念資料館,","爆心地・放射能測定","1945/10/01-10","細工町"
"A-830","林　重男","広島平和記念資料館,","爆心地・放射能測定","1945/10/01-10","細工町"
"A-831","林　重男","広島平和記念資料館,","爆心地・放射能測定","1945/10/01-10","細工町"
"A-857","林　重男","広島平和記念資料館,","斑入りフジバカマ","1945/10/01-10","基町"
"A-858","林　重男","広島平和記念資料館,","斑入りフジバカマ","1945/10/01-10","基町"
"A-859","林　重男","広島平和記念資料館,","斑入りフジバカマ","1945/10/01-10","基町"
"A-860","林　重男","広島平和記念資料館,","斑入りフジバカマ","1945/10/01-10","基町"
"A-861","林　重男","広島平和記念資料館,","斑入りフジバカマ","1945/10/01-10","基町"
"A-864","林　重男","広島平和記念資料館,","斑入りヤマゴボウ","1945/10/01-10","基町"
"A-865","林　重男","広島平和記念資料館,","斑入りヤマゴボウ","1945/10/01-10","基町"
"A-866","林　重男","広島平和記念資料館,","斑入りヤマゴボウ","1945/10/01-10","基町"
"A-867","林　重男","広島平和記念資料館,","斑入りヤマゴボウ","1945/10/01-10","基町"
"A-868","林　重男","広島平和記念資料館,","斑入りヤマゴボウ","1945/10/01-10","基町"
"HP135","木村　権一","広島平和記念資料館","死直前の被爆兵士","1945/09/03","広島第一陸軍病院宇品分院"
"HP135-C","木村　権一","広島平和記念資料館","死直前の被爆兵士","1945/09/03","広島第一陸軍病院宇品分院"
"HP136-A","木村　権一","広島平和記念資料館","脱毛と顔面の熱傷","1945",""
"HP136-B","木村　権一","広島平和記念資料館","脱毛と顔面の熱傷","1945",""
"HP137","木村　権一","広島平和記念資料館","歯齦炎．脱毛","1945","広島陸軍病院宇品分院"
"HP139","木村　権一","広島平和記念資料館","舌に潰瘍ができた兵士","1945年8~9月頃","広島第一陸軍病院宇品分院"
"HP141","木村　権一","広島平和記念資料館","口内炎・脱毛・口唇出血","1945","広島陸軍病院宇品分院"
"HP144","木村　権一","広島平和記念資料館","脱毛した兵士","1945/08/","広島第一陸軍病院宇品分院"
"RA-153","林　重男","広島平和記念資料館","斑入り「ヒマ」","1945/10/01-10","基町"
"RA-154","林　重男","広島平和記念資料館","斑入り「ヒマ」","1945/10/01-10","基町"
"RA-161","林　重男","広島平和記念資料館","黒い雨の付着した雨戸を調べる調査員","1945/10/01-10","己斐町"
"RA-162","林　重男","広島平和記念資料館","黒い雨の付着した雨戸を調べる調査員","1945/10/01-10","己斐町"
"RA-163","林　重男","広島平和記念資料館","ヒイラギ","1945/10/01-10","東千田町"
"RA-164","林　重男","広島平和記念資料館","ヒイラギ","1945/10/01-10","東千田町"
"RA-165","林　重男","広島平和記念資料館","黒い雨に汚染されたズボン","1945/10/01-10","己斐町"
"RA-166","林　重男","広島平和記念資料館","民家の屋根に付着した黒い雨を調べる調査員","1945/10/01-10","己斐町"
"SA036-2","川本　俊雄","川本　祥雄","広島赤十字病院（本館正面）","1945年10月頃","千田町一丁目"
"SA100-2","木村　権一","広島平和記念資料館","死の斑点が出た兵士","1945年9月3日","宇品町(宇品東五丁目)、広島第一陸軍病院宇品分院"
"HP105-B","","広島平和記念資料館","頭皮の脱毛","",""
"HP130","","広島平和記念資料館","脱毛","",""